Block,Question
Science Identity ,I see myself as a biology person.
Science Identity ,I see myself as a science person.
Science Identity ,I see myself as a scientist.
Science Identity ,Other people (friends/family) see me as a science person.
Science Identity ,My science instructors see me as a science person.
Career Motivation,Learning science will help me get a good job.
Career Motivation,Understanding science will benefit me in my career.
Career Motivation,Knowing science will give me a career advantage.
Career Motivation,I will use science problem-solving skills in my career.
Career Motivation,My career will involve science.
Instrinsic Motivation,Learning science is interesting.
Instrinsic Motivation,I am curious about discoveries in science. 
Instrinsic Motivation,The science I learn is relevant to my life.
Instrinsic Motivation,Learning science makes my life more meaningful.
Instrinsic Motivation,I enjoy learning science. 
Self-Determination,I study hard to learn science. 
Self-Determination,I prepare well for science tests and labs.
Self-Determination,I put enough effort into learning science. 
Self-Determination,I spend a lot of time learning science. 
Self-Determination,I use strategies to learn science well. 
Self-Efficacy,I am confident that I will do well on science labs and projects.
Self-Efficacy,"I believe I can earn a grade of ""A"" in science."
Self-Efficacy,I am confident I will do well on science tests.
Self-Efficacy,I believe I can master science knowledge and skills.
Self-Efficacy,I am sure I can understand science. 
Grade Motivation,Scoring high on science tests and labs matters to me.
Grade Motivation,"It is important that I get an ""A"" in science."
Grade Motivation,I think about the grade I will get in science.
Grade Motivation,Getting a good science grade is important to me. 
Grade Motivation,I like to do better than other students on scienec tests. 
Value of Peer Interactions,My college science classes are more enjoyable when I work with other students. 
Value of Peer Interactions,I understand more when my classmates participate in college classroom discussions.
Value of Peer Interactions,I learn best in college science classes when I work with classmates.
Value of Peer Interactions,The amount I understand is increased by classmates ideas in my college science classes. 
Value of Peer Interactions,When classmates share their ideas in college science classes this helps me learn. 
Sense of Belonging,When I am in a science setting I feel a connection with the science community. 
Sense of Belonging,When I am in a science setting I feel respected. 
Sense of Belonging,When I am in a science setting I feel comfortable.
Sense of Belonging,When I am in a science setting I trust my instructors to be committed to helping me learn.
Sense of Belonging,When I am in a science setting I enjoy being an active participant.
Sense of Belonging,When I am in a science setting I try to say as little as possible. 
Competency in Science,I am good at solving complicated scientific problems. 
Competency in Science,I read websites articles or books about scientific issues.
Competency in Science,I work on a project involving scientific concepts.
Competency in Science,I think about how my life is affected by science. 
Community in Science,To what extent is serving the community important to scientific work?
Community in Science,To what extent is working with people important to scientific work?
Community in Science,To what extent is helping others important to scientific work?
Community in Science,To what extent is connecting with others important to scientific work?
